"SnapshotTime","SnapshotHour","Bvid","Title","View","Reply","Like","Coin","Favorite","Share","Danmaku","Pubdate"
"2026-08-11 02:46:58","2026-08-11 02:00:00","BV1o9uy6jEyM","8月更新【秋叶ComfyUI-VX中文版】全面支持中文提示词输入！Win+Mac一键安装，支持20304050显卡解压即用，附comfyui本地部署一键安装包","5895","118","235","434","249","21","11","1786262763"
"2026-08-11 02:46:58","2026-08-11 02:00:00","BV1eSMC6TENM","【秋叶ComfyUI】秋叶最新发布！ComfyUI 旗舰中文版整合包来了！全中文界面支持中文提示词，Win+Mac一键下载安装教程（附新Comfyui整合包）","14276","292","1211","2275","1221","163","91","1785908170"
"2026-08-11 02:46:58","2026-08-11 02:00:00","BV1QZM16zEMK","8月最新【秋叶ComfyUI-VX中文版】全中文界面支持中文提示词！Win+Mac一键安装，支持20304050显卡解压即用，附comfyui本地部署一键安装包","24856","1218","1571","2465","1794","208","85","1785974400"
"2026-08-11 02:46:58","2026-08-11 02:00:00","BV1GFVf6sECB","7月最新【秋叶ComfyUI-v10中文版】！全中文界面支持中文提示词！支持50 40 30系显卡，Win+Mac一键安装，解压即用（附Comfyui整合包）","376122","19360","13704","22099","15902","2299","394","1780308932"
"2026-08-11 02:46:58","2026-08-11 02:00:00","BV1NfKw6AEeo","8月【秋叶ComfyUI桌面版】全新发布！ai绘画ai视频一键生成，适配20/30/40/50系显卡，Win+Mac一键安装解压即用无私传递（附整合包+工作流）","67208","1407","2086","3346","2421","659","176","1784355819"
"2026-08-11 02:46:58","2026-08-11 02:00:00","BV1Tjgk6fEQw","【ComfyUI-模型】音画同步，AI视频一键生成，8g显存也能玩。LTX2.3模型完全体！从入门到进阶,镜头运镜,提示词工具。一键安装，点开即用（附软件模型）","61516","1628","2810","4026","3218","733","210","1784694905"
"2026-08-11 02:46:58","2026-08-11 02:00:00","BV1wfT76GEME","【ComfyUI-V13旗舰版】秋叶最新教程发布！全中文界面，中文提示词！全面适配50 40 30系显卡，Win+Mac一键安装，解压即用，（附整合包+工作流）","158585","4866","5743","8961","6880","1657","340","1782998112"
"2026-08-11 02:46:58","2026-08-11 02:00:00","BV18egC6NEPm","【ComfyUI最强视频模型】LTX2.3最新NSFW破限制视频/漫剧一键整合包！无视审查！低至8G显存运行！LTX导演台、多参生视频、Scail2动作迁移等","61944","1467","1563","2800","1598","670","116","1784717074"
"2026-08-11 02:46:58","2026-08-11 02:00:00","BV1sh3C6cEXN","【秋叶ComfyUI终极整合包】全中文界面支持中文提示词！支持全部英伟达显卡！详细从零开始学习AI绘画comfyui工作流搭建，（附整合包工作流）","47397","624","901","1626","925","363","78","1785315707"
"2026-08-11 02:46:58","2026-08-11 02:00:00","BV19wLX61EpR","最新发布！【秋叶ComfyUI-v13】中文整合包来了！支持20/30/40/50系显卡，Win+Mac一键下载安装,AI生图/AI视（附Comfyui整合包）","84375","433","386","592","392","376","93","1781694000"
